iata_code,ident,type,continent,iso_country,iso_region,municipality,gps_code,local_code,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Tz.database.time.zone
AAA,NTGA,medium_airport,OC,PF,PF-U-A,,NTGA,,Anaa Airport,Anaa,French Polynesia,-17.3526001,-145.5099945,10,-10,U,Pacific/Tahiti
AAC,HEAR,medium_airport,AS,EG,EG-SIN,El Arish,HEAR,,El Arish International Airport,El Arish,Egypt,31.07329941,33.83580017,121,2,U,Africa/Cairo
AAE,DABB,medium_airport,AF,DZ,DZ-36,Annaba,DABB,,Annaba Airport,Annaba,Algeria,36.82220078,7.809169769,16,1,N,Africa/Algiers
AAF,KAAF,small_airport,NA,US,US-FL,Apalachicola,KAAF,AAF,Apalachicola Regional Airport,Apalachicola,United States,29.72750092,-85.02749634,20,-5,A,America/New_York
AAH,EDKA,small_airport,EU,DE,DE-NW,Aachen,EDKA,,Aachen-Merzbr¸ck Airport,Aachen,Germany,50.82305527,6.186388969,623,1,E,Europe/Berlin
AAJ,SR-AAJ,small_airport,SA,SR,SR-SI,Awaradam,SMCA,,Cayana Airstrip,Cayana,Suriname,3.898611,-55.577778,50,-3,S,America/Paramaribo
AAK,NGUK,small_airport,OC,KI,KI-G,Buariki,NGUK,,Buariki Airport,Buariki,Kiribati,0.185277998,173.6369934,0,10,U,\N
AAL,EKYT,large_airport,EU,DK,DK-81,Aalborg,EKYT,,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,10,1,E,Europe/Copenhagen
AAM,FAMD,medium_airport,AF,ZA,ZA-NP,Malamala,FAMD,,Malamala Airport,Malamala,South Africa,-24.81809998,31.54459953,1124,2,U,Africa/Johannesburg
AAN,OMAL,medium_airport,AS,AE,AE-AZ,Al Ain,OMAL,,Al Ain International Airport,Al Ain,United Arab Emirates,24.26169968,55.60919952,869,4,U,Asia/Dubai
AAO,SVAN,medium_airport,SA,VE,VE-B,Anaco,SVAN,,Anaco Airport,Anaco,Venezuela,9.430225372,-64.47072601,721,-4,U,America/Caracas
AAP,KAAP,closed,NA,US,US-TX,Houston,KAAP,AAP,Andrau Airpark,Houston,United States,29.72249985,-95.58830261,79,-6,A,America/Chicago
AAQ,URKA,medium_airport,EU,RU,RU-KDA,Anapa,URKA,,Anapa Vityazevo Airport,Anapa,Russia,45.0021019,37.34730148,174,3,N,Europe/Moscow
AAR,EKAH,medium_airport,EU,DK,DK-82,Aarhus,EKAH,,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,82,1,E,Europe/Copenhagen
AAT,CN-0113,medium_airport,AS,CN,CN-65,Altay,ZWAT,,Altay Airport,Altay,China,47.866667,88.116667,2491,8,U,Asia/Shanghai
AAU,NSAU,small_airport,OC,WS,WS-VS,Asau,NSAU,,Asau Airport,Savai\\'i,Samoa,-13.505,-172.627778,6,13,U,Pacific/Apia
AAV,RPMA,medium_airport,AS,PH,PH-SCO,Surallah,RPMA,,Allah Valley Airport,Surallah,Philippines,6.366819859,124.7509995,659,\N,\N,\N
AAX,SBAX,small_airport,SA,BR,BR-MG,Arax√°,SBAX,,Romeu Zema Airport,Araxa,Brazil,-19.5632,-46.96039963,3276,-3,S,America/Sao_Paulo
AAY,OYGD,medium_airport,AS,YE,YE-MR,,OYGD,,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,16.19169998,52.17499924,134,3,U,Asia/Aden
AAZ,MGQZ,small_airport,NA,GT,GT-QZ,Quezaltenango,MGQZ,,Quezaltenango Airport,Quezaltenango,Guatemala,14.86559963,-91.5019989,7779,-6,U,America/Guatemala
ABA,UNAA,medium_airport,AS,RU,RU-KK,Abakan,UNAA,,Abakan Airport,Abakan,Russia,53.74000168,91.38500214,831,7,N,Asia/Krasnoyarsk
ABD,OIAA,medium_airport,AS,IR,IR-10,Abadan,OIAA,,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,10,3.5,E,Asia/Tehran
ABE,KABE,medium_airport,NA,US,US-PA,Allentown,KABE,ABE,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,393,-5,A,America/New_York
ABF,NGAB,small_airport,OC,KI,KI-G,Abaiang,NGAB,,Abaiang Airport,Abaiang Atoll,Kiribati,1.798609972,173.0410004,0,12,U,Pacific/Tarawa
