aircraft_reg_num,Identifier,Flight.Number,Arr.Dep.Flag,New.Bay,TimeNow,Flht_Sch_Date_Frmt,CancelledFlight,delayMinutes,aircraftSwap,flightID,schd_dest,Flht_ETAETD_Date_Frmt,aircraft_reg_num_old,Conflict,IsFlagship,IsPartOfPair,aircraft_type,NewBay_prev,IsUSFlight,BestInsert,PaxConnBestInsert
A0WFV,EK0201_2016-12-28_D_04,EK0201,D,C24,28/12/2016 03:00,28/12/2016 04:30,0,35,,FL-EK-0201-20161228-DXB-JFK-0,JFK,28/12/2016 05:05,A0WFV,1,1,0,A380,B26R,1,C25,267.4032022
A0WFM,EK0001_2016-12-29_D_03,EK0001,D,HGRH,28/12/2016 03:00,29/12/2016 03:45,0,0,,FL-EK-0001-20161229-DXB-LHR-0,LHR,29/12/2016 03:45,A0WFM,0,1,0,A380,HGRH,0,none,1.00E+10
A0WLS,EK0001_2016-12-28_D_03,EK0001,D,B27,28/12/2016 03:00,28/12/2016 03:45,0,15,,FL-EK-0001-20161228-DXB-LHR-0,LHR,28/12/2016 04:00,A0WLS,1,1,0,A380,B27,0,A03,267.4032022
A0WDA,EK0235_2016-12-28_D_05,EK0235,D,B18L,28/12/2016 03:00,28/12/2016 05:45,0,149,,FL-EK-0235-20161228-DXB-ORD-0,ORD,28/12/2016 08:14,A0WDA,1,0,0,B7773ER,B18L,1,A07,267.4032022
A0WDD,EK0239_2016-12-28_D_22,EK0239,D,F06,28/12/2016 03:00,28/12/2016 22:35,0,0,,FL-EK-0239-20161229-DXB-BOS-0,BOS,28/12/2016 22:35,A0WDD,0,0,0,B7773ER,F06,1,none,1.00E+10
A0WDE,EK0229_2016-12-28_D_05,EK0229,D,B27,28/12/2016 03:00,28/12/2016 05:25,0,180,,FL-EK-0229-20161228-DXB-SEA-0,SEA,28/12/2016 08:25,A0WDE,1,0,0,B7773ER,B27,1,A07,267.4032022
A0WDJ,EK0235_2016-12-31_D_05,EK0235,D,HGRL,28/12/2016 03:00,31/12/2016 05:45,0,0,,FL-EK-0235-20161231-DXB-ORD-0,ORD,31/12/2016 05:45,A0WDJ,0,0,0,B7773ER,HGRL,1,none,1.00E+10
A0WDN,EK0229_2016-12-29_D_05,EK0229,D,HGRK,28/12/2016 03:00,29/12/2016 05:25,0,0,,FL-EK-0229-20161229-DXB-SEA-0,SEA,29/12/2016 05:25,A0WDN,0,0,0,B7773ER,HGRK,1,none,1.00E+10
A0WDW,EK0237_2016-12-28_D_04,EK0237,D,F07,28/12/2016 03:00,28/12/2016 04:40,0,149,,FL-EK-0237-20161228-DXB-BOS-0,BOS,28/12/2016 07:09,A0WDW,0,0,0,B7773ER,F07,1,none,1.00E+10
A0WFY,EK0207_2016-12-30_D_11,EK0207,D,HGR,28/12/2016 03:00,30/12/2016 11:00,0,0,,FL-EK-0207-20161230-DXB-JFK-0,JFK,30/12/2016 11:00,A0WFY,0,0,0,A380,HGR,1,none,1.00E+10
A0WFZ,EK0207_2016-12-28_D_11,EK0207,D,F19,28/12/2016 03:00,28/12/2016 11:00,0,0,,FL-EK-0207-20161228-DXB-JFK-0,JFK,28/12/2016 11:00,A0WFZ,0,0,0,A380,F19,1,none,1.00E+10
A0WIA,EK0213_2016-12-28_D_23,EK0213,D,B08,28/12/2016 03:00,28/12/2016 23:30,0,0,,FL-EK-0213-20161229-DXB-FLL-0,FLL,28/12/2016 23:30,A0WIA,0,0,0,B7772LR,B08,1,none,1.00E+10
A0WLD,EK0203_2016-12-28_D_22,EK0203,D,F19,28/12/2016 03:00,28/12/2016 22:35,0,0,,FL-EK-0203-20161229-DXB-JFK-0,JFK,28/12/2016 22:35,A0WLD,0,0,0,A380,F19,1,none,1.00E+10
A0WLY,EK0225_2016-12-28_D_04,EK0225,D,B26R,28/12/2016 03:00,28/12/2016 04:45,0,149,,FL-EK-0225-20161228-DXB-SFO-0,SFO,28/12/2016 07:14,A0WLY,1,0,0,A380,B26R,1,C24,267.4032022
A0WMJ,EK0211_2016-12-28_D_05,EK0211,D,F08,28/12/2016 03:00,28/12/2016 05:05,0,59,,FL-EK-0211-20161228-DXB-IAH-0,IAH,28/12/2016 06:04,A0WMJ,0,0,0,B7773ER,F08,1,none,1.00E+10
A0WMQ,EK0221_2016-12-28_D_22,EK0221,D,F07,28/12/2016 03:00,28/12/2016 22:50,0,0,,FL-EK-0221-20161229-DXB-DFW-0,DFW,28/12/2016 22:50,A0WMQ,0,0,0,B7773ER,F07,1,none,1.00E+10
A0WVH,EK0225_2016-12-29_D_04,EK0225,D,C25,28/12/2016 03:00,29/12/2016 04:45,0,0,,FL-EK-0225-20161229-DXB-SFO-0,SFO,29/12/2016 04:45,A0WVH,0,0,0,A380,C25,1,none,1.00E+10
A0WVL,EK0217_2016-12-28_D_11,EK0217,D,F18,28/12/2016 03:00,28/12/2016 11:00,0,0,,FL-EK-0217-20161228-DXB-LAX-0,LAX,28/12/2016 11:00,A0WVL,0,0,0,A380,F18,1,none,1.00E+10
A0WVO,EK0215_2016-12-28_D_04,EK0215,D,A04,28/12/2016 03:00,28/12/2016 04:30,0,35,,FL-EK-0215-20161228-DXB-LAX-0,LAX,28/12/2016 05:05,A0WVO,0,0,0,A380,A04,1,none,1.00E+10
A0WBB,EK0881_2016-12-28_D_15,EK0881,D,F10,28/12/2016 03:00,28/12/2016 15:20,0,0,,FL-EK-0881-20161228-DXB-DOH-0,DOH,28/12/2016 15:20,A0WBB,0,0,0,B777300,F10,0,none,1.00E+10
A0WBB,EK0601_2016-12-28_A_09,EK0601,A,G20,28/12/2016 03:00,28/12/2016 09:20,0,0,,FL-EK-0601-20161228-KHI-DXB-0,DXB,28/12/2016 09:20,A0WBB,0,0,0,B777300,G20,0,none,1.00E+10
A0WBB,EK0600_2016-12-28_D_03,EK0600,D,C40,28/12/2016 03:00,28/12/2016 03:30,0,0,,FL-EK-0600-20161228-DXB-KHI-0,KHI,28/12/2016 03:30,A0WBB,0,0,0,B777300,C40,0,none,1.00E+10
A0WBB,EK0512_2016-12-28_D_02,EK0512,D,G20,28/12/2016 03:00,29/12/2016 02:10,0,0,,FL-EK-0512-20161229-DXB-DEL-0,DEL,29/12/2016 02:10,A0WBB,0,0,0,B777300,G20,0,none,1.00E+10
A0WBC,EK0545_2016-12-28_A_08,EK0545,A,G22,28/12/2016 03:00,28/12/2016 08:40,0,0,,FL-EK-0545-20161228-MAA-DXB-0,DXB,28/12/2016 08:40,A0WBC,0,0,0,B777300,G22,0,none,1.00E+10
A0WBE,EK0531_2016-12-28_A_08,EK0531,A,B15,28/12/2016 03:00,28/12/2016 08:10,0,0,,FL-EK-0531-20161228-COK-DXB-0,DXB,28/12/2016 08:10,A0WBE,0,0,0,B777300,B15,0,none,1.00E+10
A0WBE,EK0609_2016-12-28_A_16,EK0609,A,G21,28/12/2016 03:00,28/12/2016 16:50,0,0,,FL-EK-0609-20161228-KHI-DXB-0,DXB,28/12/2016 16:50,A0WBE,0,0,0,B777300,G21,0,none,1.00E+10
A0WBE,EK0608_2016-12-28_D_10,EK0608,D,B15,28/12/2016 03:00,28/12/2016 10:25,0,0,,FL-EK-0608-20161228-DXB-KHI-0,KHI,28/12/2016 10:25,A0WBE,0,0,0,B777300,B15,0,none,1.00E+10
A0WBF,EK0602_2016-12-28_D_14,EK0602,D,B15,28/12/2016 03:00,28/12/2016 14:10,0,0,,FL-EK-0602-20161228-DXB-KHI-0,KHI,28/12/2016 14:10,A0WBF,0,0,0,B777300,B15,0,none,1.00E+10
A0WBI,EK0817_2016-12-28_D_14,EK0817,D,F04,28/12/2016 03:00,28/12/2016 14:40,0,0,,FL-EK-0817-20161228-DXB-RUH-0,RUH,28/12/2016 14:40,A0WBI,0,0,0,B777300,F04,0,none,1.00E+10
A0WBI,EK0608_2016-12-29_D_10,EK0608,D,HGR,28/12/2016 03:00,29/12/2016 10:25,0,0,,FL-EK-0608-20161229-DXB-KHI-0,KHI,29/12/2016 10:25,A0WBI,0,0,0,B777300,HGR,0,none,1.00E+10
A0WBI,EK0659_2016-12-28_A_10,EK0659,A,F04,28/12/2016 03:00,28/12/2016 10:20,0,0,,FL-EK-0659-20161228-MLE-DXB-0,DXB,28/12/2016 10:20,A0WBI,0,0,0,B777300,F04,0,none,1.00E+10
A0WBL,EK0803_2016-12-28_D_12,EK0803,D,B26L,28/12/2016 03:00,28/12/2016 12:10,0,0,,FL-EK-0803-20161228-DXB-JED-0,JED,28/12/2016 12:10,A0WBL,0,0,0,B777300,B26L,0,none,1.00E+10
A0WBL,EK0855_2016-12-29_D_03,EK0855,D,TB28,28/12/2016 03:00,29/12/2016 03:45,0,0,,FL-EK-0855-20161229-DXB-KWI-0,KWI,29/12/2016 03:45,A0WBL,0,0,0,B777300,TB28,0,none,1.00E+10
A0WBL,EK0971_2016-12-28_D_03,EK0971,D,F10,28/12/2016 03:00,28/12/2016 03:50,0,15,,FL-EK-0971-20161228-DXB-IKA-0,IKA,28/12/2016 04:05,A0WBL,0,0,0,B777300,F10,0,none,1.00E+10
