"flt_id"	"fltNum"	"depStn"	"arrStn"	"utcSTD"	"utcSTA"	"cancelled"	"utcEstOUT"	"utcEstIN"	"utcATD"	"utcATA"	"first"	"business"	"coach"	"ac_registration"
"FL-EK-0096-20161230-FCO-DXB-0"	"0096"	"FCO"	"DXB"	2016-12-30 19:45:00	2016-12-31 01:30:00	"false"	2016-12-30 19:45:00	2016-12-31 01:30:00	NA	NA	4	69	418	"A0WVQ"
"FL-EK-0370-20161231-DXB-BKK-0"	"0370"	"DXB"	"BKK"	2016-12-31 07:45:00	2016-12-31 13:50:00	"false"	2016-12-31 07:45:00	2016-12-31 13:50:00	NA	NA	0	22	384	"A0WCS"
"FL-EK-0150-20161227-AMS-DXB-0"	"0150"	"AMS"	"DXB"	2016-12-27 21:00:00	2016-12-28 03:35:00	"false"	2016-12-27 21:00:00	2016-12-28 03:35:00	NA	NA	12	74	423	"A0WLW"
"FL-EK-0211-20161230-DXB-IAH-0"	"0211"	"DXB"	"IAH"	2016-12-30 05:05:00	2016-12-30 21:50:00	"false"	2016-12-30 05:05:00	2016-12-30 21:50:00	NA	NA	5	37	248	"A0WDQ"
"FL-EK-0384-20161229-BKK-HKG-0"	"0384"	"BKK"	"HKG"	2016-12-29 06:45:00	2016-12-29 09:30:00	"false"	2016-12-29 06:45:00	2016-12-29 09:30:00	NA	NA	6	69	409	"A0WVE"
"FL-EK-0863-20161228-MCT-DXB-0"	"0863"	"MCT"	"DXB"	2016-12-28 06:50:00	2016-12-28 07:55:00	"false"	2016-12-28 06:50:00	2016-12-28 07:55:00	NA	NA	0	0	1	"A0WIW"
"FL-EK-0159-20161229-DXB-OSL-0"	"0159"	"DXB"	"OSL"	2016-12-29 03:45:00	2016-12-29 11:00:00	"false"	2016-12-29 03:45:00	2016-12-29 11:00:00	NA	NA	0	10	298	"A0WWN"
"FL-EK-0350-20161227-DXB-BKK-0"	"0350"	"DXB"	"BKK"	2016-12-27 16:15:00	2016-12-27 22:20:00	"false"	2016-12-27 16:15:00	2016-12-27 22:20:00	NA	NA	0	39	386	"A0WWQ"
"FL-EK-0083-20161228-DXB-GVA-0"	"0083"	"DXB"	"GVA"	2016-12-28 10:50:00	2016-12-28 17:55:00	"false"	2016-12-28 10:50:00	2016-12-28 17:55:00	NA	NA	2	20	58	"A0WGT"
"FL-EK-0585-20161228-DAC-DXB-0"	"0585"	"DAC"	"DXB"	2016-12-28 18:45:00	2016-12-29 00:25:00	"false"	2016-12-28 18:45:00	2016-12-29 00:25:00	NA	NA	0	34	373	"A0WCS"
"FL-EK-0858-20161227-KWI-DXB-0"	"0858"	"KWI"	"DXB"	2016-12-27 14:45:00	2016-12-27 16:30:00	"false"	2016-12-27 14:45:00	2016-12-27 16:30:00	NA	NA	4	34	153	"A0WCT"
"FL-EK-0980-20161229-IKA-DXB-0"	"0980"	"IKA"	"DXB"	2016-12-29 16:35:00	2016-12-29 18:50:00	"false"	2016-12-29 16:35:00	2016-12-29 18:50:00	NA	NA	2	32	181	"A0WMA"
"FL-EK-0230-20161227-SEA-DXB-0"	"0230"	"SEA"	"DXB"	2016-12-27 01:10:00	2016-12-27 15:45:00	"false"	2016-12-27 01:10:00	2016-12-27 15:45:00	2016-12-27 01:10:00	NA	1	28	289	"A0WDO"
"FL-EK-0864-20161229-DXB-MCT-0"	"0864"	"DXB"	"MCT"	2016-12-29 12:40:00	2016-12-29 13:55:00	"false"	2016-12-29 12:40:00	2016-12-29 13:55:00	NA	NA	0	13	130	"A0WIG"
"FL-EK-0061-20161227-DXB-HAM-0"	"0061"	"DXB"	"HAM"	2016-12-27 11:00:00	2016-12-27 18:05:00	"false"	2016-12-27 11:00:00	2016-12-27 18:05:00	2016-12-27 11:00:00	NA	1	5	129	"A0WMI"
"FL-EK-0412-20161229-DXB-SYD-0"	"0412"	"DXB"	"SYD"	2016-12-29 06:15:00	2016-12-29 20:00:00	"false"	2016-12-29 06:15:00	2016-12-29 20:00:00	NA	NA	10	45	337	"A0WNN"
"FL-EK-0218-20161230-LAX-DXB-0"	"0218"	"LAX"	"DXB"	2016-12-30 05:30:00	2016-12-30 21:30:00	"false"	2016-12-30 05:30:00	2016-12-30 21:30:00	NA	NA	7	38	326	"A0WLF"
"FL-EK-0725-20161228-DXB-DAR-0"	"0725"	"DXB"	"DAR"	2016-12-28 06:30:00	2016-12-28 12:00:00	"false"	2016-12-28 06:30:00	2016-12-28 12:00:00	NA	NA	1	32	280	"A0WWB"
"FL-EK-0006-20161230-LHR-DXB-0"	"0006"	"LHR"	"DXB"	2016-12-30 22:00:00	2016-12-31 04:45:00	"false"	2016-12-30 22:00:00	2016-12-31 04:45:00	NA	NA	7	70	404	"A0WFA"
"FL-EK-0162-20161229-DUB-DXB-0"	"0162"	"DUB"	"DXB"	2016-12-29 12:55:00	2016-12-29 20:25:00	"false"	2016-12-29 12:55:00	2016-12-29 20:25:00	NA	NA	0	42	383	"A0WWV"
"FL-EK-0376-20161227-DXB-BKK-0"	"0376"	"DXB"	"BKK"	2016-12-27 23:30:00	2016-12-28 05:35:00	"false"	2016-12-27 23:30:00	2016-12-28 05:35:00	NA	NA	0	55	555	"A0WVI"
