aircraftid,opdate,flt_num,schd_orig,schd_dest,schd_deptime,schd_arrtime
A6EWA,1/7/2016,313,HND,DXB,30/6/2016 15:30,1/7/2016 2:15
A6ENY,1/7/2016,399,DPS,DXB,30/6/2016 16:05,1/7/2016 1:00
A6EES,1/7/2016,303,PVG,DXB,30/6/2016 16:05,1/7/2016 0:55
A6EED,1/7/2016,381,HKG,DXB,30/6/2016 16:35,1/7/2016 0:20
A6EBC,1/7/2016,409,MEL,KUL,30/6/2016 16:40,1/7/2016 0:40
A6EBM,1/7/2016,349,SIN,CMB,30/6/2016 16:50,30/6/2016 20:25
A6ECI,1/7/2016,379,HKT,DXB,30/6/2016 17:10,30/6/2016 23:10
A6ECZ,1/7/2016,393,SGN,DXB,30/6/2016 17:25,1/7/2016 0:30
A6END,1/7/2016,359,CGK,DXB,30/6/2016 17:40,1/7/2016 1:35
A6EOV,1/7/2016,405,SIN,DXB,30/6/2016 17:40,1/7/2016 0:50
A6EOT,1/7/2016,343,KUL,DXB,30/6/2016 18:10,1/7/2016 0:55
A6EDT,1/7/2016,385,BKK,DXB,30/6/2016 18:35,1/7/2016 0:45
A6ECW,1/7/2016,433,BNE,DXB,30/6/2016 19:00,1/7/2016 9:20
A6EGG,1/7/2016,371,BKK,DXB,30/6/2016 19:25,1/7/2016 1:35
A6ECL,1/7/2016,419,BKK,DXB,30/6/2016 19:40,1/7/2016 1:45
A6EEG,1/7/2016,415,SYD,DXB,30/6/2016 20:00,1/7/2016 10:15
A6ENL,1/7/2016,975,DXB,IKA,30/6/2016 20:50,30/6/2016 23:00
A6EOM,1/7/2016,406,MEL,AKL,30/6/2016 21:10,1/7/2016 0:45
A6EMT,1/7/2016,807,DXB,MED,30/6/2016 21:15,1/7/2016 0:00
A6ECB,1/7/2016,815,DXB,RUH,30/6/2016 21:25,30/6/2016 23:25
A6ENK,1/7/2016,604,DXB,KHI,30/6/2016 21:30,30/6/2016 23:30
A6EBM,1/7/2016,349,CMB,DXB,30/6/2016 21:45,1/7/2016 2:00
A6EAR,1/7/2016,853,DXB,KWI,30/6/2016 21:45,30/6/2016 23:25
A6EDY,1/7/2016,801,DXB,JED,30/6/2016 21:45,1/7/2016 0:40
A6EEF,1/7/2016,412,SYD,AKL,30/6/2016 21:50,1/7/2016 1:00
A6EGU,1/7/2016,425,PER,DXB,30/6/2016 22:00,1/7/2016 9:00
A6ENW,1/7/2016,582,DXB,DAC,30/6/2016 22:00,1/7/2016 2:40
A6EPI,1/7/2016,705,DXB,SEZ,30/6/2016 22:05,1/7/2016 2:45
A6ECC,1/7/2016,570,DXB,CCU,30/6/2016 22:05,1/7/2016 2:50
A6EBX,1/7/2016,835,DXB,BAH,30/6/2016 22:05,30/6/2016 23:20
A6ECM,1/7/2016,440,DXB,ADL,30/6/2016 22:05,1/7/2016 10:35
A6EDZ,1/7/2016,434,BNE,AKL,30/6/2016 22:10,1/7/2016 1:25
A6EOC,1/7/2016,414,DXB,SYD,30/6/2016 22:15,1/7/2016 12:05
A6EDN,1/7/2016,231,DXB,IAD,30/6/2016 22:20,1/7/2016 12:40
A6EGV,1/7/2016,823,DXB,DMM,30/6/2016 22:25,30/6/2016 23:45
A6EMM,1/7/2016,543,MAA,DXB,30/6/2016 22:30,1/7/2016 2:40
A6EBH,1/7/2016,623,LHE,DXB,30/6/2016 22:30,1/7/2016 1:40
A6EBB,1/7/2016,656,DXB,MLE,30/6/2016 22:30,1/7/2016 2:40
A6EDW,1/7/2016,7,DXB,LHR,30/6/2016 22:30,1/7/2016 6:05
A6ENB,1/7/2016,611,KHI,DXB,30/6/2016 22:35,1/7/2016 0:45
A6EBZ,1/7/2016,847,DXB,DOH,30/6/2016 22:35,30/6/2016 23:40
A6ECY,1/7/2016,956,BEY,DXB,30/6/2016 22:40,1/7/2016 2:50
A6EGR,1/7/2016,408,DXB,KUL,30/6/2016 22:40,1/7/2016 5:50
A6EGP,1/7/2016,337,MNL,DXB,30/6/2016 22:40,1/7/2016 7:05
A6EPE,1/7/2016,866,DXB,MCT,30/6/2016 22:40,30/6/2016 23:50
A6EBJ,1/7/2016,525,HYD,DXB,30/6/2016 22:45,1/7/2016 2:20
A6ECD,1/7/2016,221,DXB,DFW,30/6/2016 22:45,1/7/2016 14:45
A6EMX,1/7/2016,513,DEL,DXB,30/6/2016 22:45,1/7/2016 2:10
A6EOI,1/7/2016,11,DXB,LGW,30/6/2016 22:45,1/7/2016 6:20
A6ENN,1/7/2016,650,DXB,CMB,30/6/2016 22:45,1/7/2016 3:15
A6ECQ,1/7/2016,432,DXB,BNE,30/6/2016 22:45,1/7/2016 12:30
A6EMO,1/7/2016,544,DXB,MAA,30/6/2016 22:45,1/7/2016 2:55
A6EGT,1/7/2016,326,DXB,INC,30/6/2016 22:50,1/7/2016 5:35
A6EOA,1/7/2016,302,DXB,PVG,30/6/2016 22:50,1/7/2016 7:30
A6EAK,1/7/2016,520,DXB,TRV,30/6/2016 22:50,1/7/2016 3:05
A6ECH,1/7/2016,318,DXB,NRT,30/6/2016 22:50,1/7/2016 8:35
A6EDO,1/7/2016,203,DXB,JFK,30/6/2016 22:50,1/7/2016 12:50
A6EMR,1/7/2016,533,COK,DXB,30/6/2016 22:50,1/7/2016 2:40
A6EAF,1/7/2016,539,AMD,DXB,30/6/2016 22:55,1/7/2016 1:55
A6EBP,1/7/2016,338,DXB,MNL,30/6/2016 22:55,1/7/2016 9:30
A6EOD,1/7/2016,420,DXB,PER,30/6/2016 22:55,1/7/2016 9:35
A6EPA,1/7/2016,21,DXB,MAN,30/6/2016 23:00,1/7/2016 6:50
A6EMV,1/7/2016,569,BLR,DXB,30/6/2016 23:00,1/7/2016 3:00
A6EGF,1/7/2016,316,DXB,KIX,30/6/2016 23:00,1/7/2016 8:10
A6EOB,1/7/2016,384,DXB,BKK,30/6/2016 23:00,1/7/2016 5:30
A6EEZ,1/7/2016,501,BOM,DXB,30/6/2016 23:00,1/7/2016 2:00
A6EEE,1/7/2016,354,DXB,SIN,30/6/2016 23:05,1/7/2016 7:00
A6EML,1/7/2016,523,TRV,DXB,30/6/2016 23:05,1/7/2016 3:05
A6EOJ,1/7/2016,382,DXB,HKG,30/6/2016 23:15,1/7/2016 7:25
A6ENC,1/7/2016,624,DXB,LHE,30/6/2016 23:15,1/7/2016 2:20
A6ECG,1/7/2016,418,SYD,CHC,30/6/2016 23:15,1/7/2016 2:20
A6EBT,1/7/2016,305,PVG,DXB,30/6/2016 23:15,1/7/2016 8:05
A6EAQ,1/7/2016,636,DXB,PEW,30/6/2016 23:15,1/7/2016 2:30
A6ENH,1/7/2016,906,AMM,DXB,30/6/2016 23:15,1/7/2016 2:15
A6EGN,1/7/2016,41,DXB,BHX,30/6/2016 23:20,1/7/2016 6:50
A6EMN,1/7/2016,530,DXB,COK,30/6/2016 23:20,1/7/2016 3:30
A6EGA,1/7/2016,239,DXB,BOS,30/6/2016 23:20,1/7/2016 12:55
A6EBS,1/7/2016,612,DXB,ISB,30/6/2016 23:20,1/7/2016 2:30
A6EWE,1/7/2016,227,DXB,SEA,30/6/2016 23:20,1/7/2016 13:55
A6EGO,1/7/2016,99,DXB,FCO,30/6/2016 23:20,1/7/2016 5:25
A6ENE,1/7/2016,309,PEK,DXB,30/6/2016 23:25,1/7/2016 7:35
A6EPG,1/7/2016,332,DXB,MNL,30/6/2016 23:30,1/7/2016 8:30
A6EPJ,1/7/2016,504,DXB,BOM,30/6/2016 23:30,1/7/2016 2:40
A6EPD,1/7/2016,564,DXB,BLR,30/6/2016 23:30,1/7/2016 3:35
A6EBK,1/7/2016,526,DXB,HYD,30/6/2016 23:40,1/7/2016 3:20
A6EOR,1/7/2016,366,DXB,TPE,30/6/2016 23:40,1/7/2016 8:20
A6EOW,1/7/2016,322,DXB,ICN,30/6/2016 23:40,1/7/2016 7:55
A6EOS,1/7/2016,376,DXB,BKK,30/6/2016 23:40,1/7/2016 6:15
A6EPF,1/7/2016,101,DXB,MXP,30/6/2016 23:45,1/7/2016 6:25
A6ECT,1/7/2016,772,DXB,CPT,30/6/2016 23:50,1/7/2016 9:35
A6EBU,1/7/2016,387,HKG,DXB,30/6/2016 23:50,1/7/2016 7:55
A6EEM,1/7/2016,346,DXB,KUL,30/6/2016 23:50,1/7/2016 7:05
A6ECX,1/7/2016,219,DXB,MCO,30/6/2016 23:50,1/7/2016 15:40
A6ENP,1/7/2016,43,DXB,FRA,30/6/2016 23:55,1/7/2016 6:50
A6ERP,1/7/2016,540,DXB,AMD,1/7/2016 0:00,1/7/2016 2:45
