"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WFW","EK0407","AKL","MEL",,,"12/28/2016 05:50","12/28/2016 09:50","swapped"
"A0WFW","EK0434","BNE","AKL","12/27/2016 22:25","12/28/2016 01:35","12/27/2016 23:15","12/28/2016 02:25","delayed"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 07:15","12/27/2016 21:30","delayed"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WFW","EK0434","DXB","BNE","12/27/2016 06:25","12/27/2016 20:40","12/27/2016 06:25","12/27/2016 20:40","unaffected"
"A0WLA","EK0419","AKL","SYD",,,"12/28/2016 03:30","12/28/2016 06:55","swapped"
"A0WLA","EK0419","SYD","BKK",,,"12/28/2016 08:50","12/28/2016 18:10","swapped"
"A0WLA","EK0406","DXB","MEL","12/27/2016 06:10","12/27/2016 19:30","12/27/2016 07:00","12/27/2016 20:20","delayed"
"A0WLA","EK0406","MEL","AKL","12/27/2016 21:10","12/28/2016 00:45","12/27/2016 22:00","12/28/2016 01:35","delayed"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 07:48","12/27/2016 22:28","delayed"
"A0WDP","EK0230","SEA","DXB","12/28/2016 01:10","12/28/2016 15:45","12/28/2016 01:10","12/28/2016 15:45","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
"A0WDP","EK0229","DXB","SEA","12/27/2016 05:25","12/27/2016 20:05","12/27/2016 05:25","12/27/2016 20:05","unaffected"
