flightNumber,operationDate,Search,origAirportID,destAirportID,aircraftID,dptDateTimeSch,arrDateTimeSch,aircraftSwap,CancelledFlight,dptDateTimeNew,arrDateTimeNew,delayMinutes
111,27/12/2016 00:00,111DXB,DXB,BUD,A0WBB,27/12/2016 04:25,27/12/2016 10:40,,0,27/12/2016 04:25,27/12/2016 10:40,0
112,27/12/2016 00:00,112BUD,BUD,DXB,A0WBB,27/12/2016 13:40,27/12/2016 19:05,,0,27/12/2016 13:40,27/12/2016 19:05,0
505,27/12/2016 00:00,505BOM,BOM,DXB,A0WBC,27/12/2016 04:55,27/12/2016 08:10,,0,27/12/2016 04:55,27/12/2016 08:10,0
544,27/12/2016 00:00,544DXB,DXB,MAA,A0WBC,27/12/2016 22:50,28/12/2016 02:45,,0,27/12/2016 22:50,28/12/2016 02:45,0
530,27/12/2016 00:00,530DXB,DXB,COK,A0WBE,27/12/2016 22:45,28/12/2016 02:35,,0,27/12/2016 22:45,28/12/2016 02:35,0
606,27/12/2016 00:00,606DXB,DXB,KHI,A0WBE,27/12/2016 05:30,27/12/2016 07:35,,0,27/12/2016 05:30,27/12/2016 07:35,0
607,27/12/2016 00:00,607KHI,KHI,DXB,A0WBE,27/12/2016 09:05,27/12/2016 11:15,,0,27/12/2016 09:05,27/12/2016 11:15,0
545,27/12/2016 00:00,545MAA,MAA,DXB,A0WBF,27/12/2016 04:15,27/12/2016 08:40,,0,27/12/2016 04:15,27/12/2016 08:40,0
977,27/12/2016 00:00,977DXB,DXB,IKA,A0WBF,27/12/2016 16:45,27/12/2016 19:00,,0,27/12/2016 16:45,27/12/2016 19:00,0
978,27/12/2016 00:00,978IKA,IKA,DXB,A0WBF,27/12/2016 21:25,27/12/2016 23:45,,0,27/12/2016 21:25,27/12/2016 23:45,0
749,27/12/2016 00:00,749DXB,DXB,TUN,A0WBI,27/12/2016 03:25,27/12/2016 10:20,,0,27/12/2016 03:25,27/12/2016 10:20,0
749,27/12/2016 00:00,749TUN,TUN,MLA,A0WBI,27/12/2016 11:50,27/12/2016 13:00,,0,27/12/2016 11:50,27/12/2016 13:00,0
749,27/12/2016 00:00,749MLA,MLA,DXB,A0WBI,27/12/2016 14:30,27/12/2016 19:35,,0,27/12/2016 14:30,27/12/2016 19:35,0
608,27/12/2016 00:00,608DXB,DXB,KHI,A0WBL,27/12/2016 10:25,27/12/2016 12:35,,0,27/12/2016 10:25,27/12/2016 12:35,0
609,27/12/2016 00:00,609KHI,KHI,DXB,A0WBL,27/12/2016 14:35,27/12/2016 16:50,,0,27/12/2016 14:35,27/12/2016 16:50,0
602,27/12/2016 00:00,602DXB,DXB,KHI,A0WBP,27/12/2016 14:10,27/12/2016 16:05,,0,27/12/2016 14:10,27/12/2016 16:05,0
603,27/12/2016 00:00,603KHI,KHI,DXB,A0WBP,27/12/2016 17:30,27/12/2016 19:59,,0,27/12/2016 17:30,27/12/2016 19:59,0
836,27/12/2016 00:00,836BAH,BAH,DXB,A0WBP,27/12/2016 00:45,27/12/2016 02:00,,0,27/12/2016 00:45,27/12/2016 02:00,0
512,27/12/2016 00:00,512DXB,DXB,DEL,A0WBS,27/12/2016 02:10,27/12/2016 05:20,,0,27/12/2016 02:10,27/12/2016 05:20,0
513,27/12/2016 00:00,513DEL,DEL,DXB,A0WBS,27/12/2016 06:50,27/12/2016 10:40,,0,27/12/2016 06:50,27/12/2016 10:40,0
658,27/12/2016 00:00,658DXB,DXB,MLE,A0WBX,27/12/2016 00:35,27/12/2016 04:45,,0,27/12/2016 00:35,27/12/2016 04:45,0
659,27/12/2016 00:00,659MLE,MLE,DXB,A0WBX,27/12/2016 06:10,27/12/2016 10:20,,0,27/12/2016 06:10,27/12/2016 10:20,0
531,27/12/2016 00:00,531COK,COK,DXB,A0WBY,27/12/2016 04:10,27/12/2016 08:10,,0,27/12/2016 04:10,27/12/2016 08:10,0
903,27/12/2016 00:00,903DXB,DXB,AMM,A0WBY,27/12/2016 10:05,27/12/2016 13:30,,0,27/12/2016 10:05,27/12/2016 13:30,0
904,27/12/2016 00:00,904AMM,AMM,DXB,A0WBY,27/12/2016 14:55,27/12/2016 17:45,,0,27/12/2016 14:55,27/12/2016 17:45,0
637,27/12/2016 00:00,637PEW,PEW,DXB,A0WCA,27/12/2016 03:00,27/12/2016 06:30,,0,27/12/2016 03:00,27/12/2016 06:30,0
345,27/12/2016 00:00,345KUL,KUL,DXB,A0WCB,27/12/2016 02:15,27/12/2016 09:20,,0,27/12/2016 02:15,27/12/2016 09:20,0
622,27/12/2016 00:00,622DXB,DXB,LHE,A0WCB,27/12/2016 13:30,27/12/2016 16:20,,0,27/12/2016 13:30,27/12/2016 16:20,0
623,27/12/2016 00:00,623LHE,LHE,DXB,A0WCB,27/12/2016 17:50,27/12/2016 21:20,,0,27/12/2016 17:50,27/12/2016 21:20,0
409,27/12/2016 00:00,409MEL,MEL,DXB,A0WCC,27/12/2016 19:00,28/12/2016 09:05,,0,27/12/2016 19:00,28/12/2016 09:05,0
133,27/12/2016 00:00,133DXB,DXB,DME,A0WCD,27/12/2016 06:00,27/12/2016 11:20,,0,27/12/2016 06:00,27/12/2016 11:20,0
134,27/12/2016 00:00,134DME,DME,DXB,A0WCD,27/12/2016 13:40,27/12/2016 18:55,,0,27/12/2016 13:40,27/12/2016 18:55,0
441,27/12/2016 00:00,441ADL,ADL,DXB,A0WCE,27/12/2016 12:05,28/12/2016 01:15,,0,27/12/2016 12:05,28/12/2016 01:15,0
333,27/12/2016 00:00,333MNL,MNL,DXB,A0WCF,27/12/2016 09:40,27/12/2016 19:15,,0,27/12/2016 09:40,27/12/2016 19:15,0
801,27/12/2016 00:00,801DXB,DXB,JED,A0WCF,27/12/2016 21:40,28/12/2016 00:40,,0,27/12/2016 21:40,28/12/2016 00:40,0
348,27/12/2016 00:00,348DXB,DXB,CMB,A0WCG,27/12/2016 03:45,27/12/2016 08:00,,0,27/12/2016 03:45,27/12/2016 08:00,0
348,27/12/2016 00:00,348CMB,CMB,SIN,A0WCG,27/12/2016 09:15,27/12/2016 13:05,,0,27/12/2016 09:15,27/12/2016 13:05,0
349,27/12/2016 00:00,349SIN,SIN,CMB,A0WCG,27/12/2016 16:30,27/12/2016 20:10,,0,27/12/2016 16:30,27/12/2016 20:10,0
349,27/12/2016 00:00,349CMB,CMB,DXB,A0WCG,27/12/2016 21:25,28/12/2016 01:55,,0,27/12/2016 21:25,28/12/2016 01:55,0
648,27/12/2016 00:00,648DXB,DXB,CMB,A0WCH,27/12/2016 10:20,27/12/2016 14:50,,0,27/12/2016 10:20,27/12/2016 14:50,0
649,27/12/2016 00:00,649CMB,CMB,DXB,A0WCH,27/12/2016 16:35,27/12/2016 21:05,,0,27/12/2016 16:35,27/12/2016 21:05,0
837,27/12/2016 00:00,837DXB,DXB,BAH,A0WCH,27/12/2016 04:30,27/12/2016 05:45,,0,27/12/2016 04:30,27/12/2016 05:45,0
838,27/12/2016 00:00,838BAH,BAH,DXB,A0WCH,27/12/2016 06:50,27/12/2016 08:00,,0,27/12/2016 06:50,27/12/2016 08:00,0
398,27/12/2016 00:00,398DXB,DXB,DPS,A0WCI,27/12/2016 04:55,27/12/2016 14:00,,0,27/12/2016 04:55,27/12/2016 14:00,0
399,27/12/2016 00:00,399DPS,DPS,DXB,A0WCI,27/12/2016 16:05,28/12/2016 01:25,,0,27/12/2016 16:05,28/12/2016 01:25,0
620,27/12/2016 00:00,620DXB,DXB,SKT,A0WCJ,27/12/2016 02:25,27/12/2016 05:25,,0,27/12/2016 02:25,27/12/2016 05:25,0
621,27/12/2016 00:00,621SKT,SKT,DXB,A0WCJ,27/12/2016 07:10,27/12/2016 10:45,,0,27/12/2016 07:10,27/12/2016 10:45,0
650,27/12/2016 00:00,650DXB,DXB,CMB,A0WCJ,27/12/2016 22:35,28/12/2016 02:55,,0,27/12/2016 22:35,28/12/2016 02:55,0
849,27/12/2016 00:00,849DXB,DXB,DOH,A0WCJ,27/12/2016 12:50,27/12/2016 14:00,,0,27/12/2016 12:50,27/12/2016 14:00,0
850,27/12/2016 00:00,850DOH,DOH,DXB,A0WCJ,27/12/2016 15:10,27/12/2016 16:20,,0,27/12/2016 15:10,27/12/2016 16:20,0
77,27/12/2016 00:00,77DXB,DXB,NCE,A0WCL,27/12/2016 04:20,27/12/2016 11:35,,0,27/12/2016 04:20,27/12/2016 11:35,0
78,27/12/2016 00:00,78NCE,NCE,DXB,A0WCL,27/12/2016 13:30,27/12/2016 19:45,,0,27/12/2016 13:30,27/12/2016 19:45,0
656,27/12/2016 00:00,656DXB,DXB,MLE,A0WCL,27/12/2016 22:45,28/12/2016 02:50,,0,27/12/2016 22:45,28/12/2016 02:50,0
775,27/12/2016 00:00,775DXB,DXB,DUR,A0WCM,27/12/2016 06:40,27/12/2016 15:05,,0,27/12/2016 06:40,27/12/2016 15:05,0
776,27/12/2016 00:00,776DUR,DUR,DXB,A0WCM,27/12/2016 17:10,28/12/2016 01:25,,0,27/12/2016 17:10,28/12/2016 01:25,0
433,27/12/2016 00:00,433BNE,BNE,SIN,A0WCN,27/12/2016 16:35,28/12/2016 00:10,,0,27/12/2016 16:35,28/12/2016 00:10,0
586,27/12/2016 00:00,586DXB,DXB,DAC,A0WCO,27/12/2016 06:30,27/12/2016 10:55,,0,27/12/2016 06:30,27/12/2016 10:55,0
587,27/12/2016 00:00,587DAC,DAC,DXB,A0WCO,27/12/2016 12:40,27/12/2016 18:10,,0,27/12/2016 12:40,27/12/2016 18:10,0
163,27/12/2016 00:00,163DXB,DXB,DUB,A0WCP,27/12/2016 10:35,27/12/2016 18:55,,0,27/12/2016 10:35,27/12/2016 18:55,0
164,27/12/2016 00:00,164DUB,DUB,DXB,A0WCP,27/12/2016 20:50,28/12/2016 04:15,,0,27/12/2016 20:50,28/12/2016 04:15,0
765,27/12/2016 00:00,765DXB,DXB,JNB,A0WCQ,27/12/2016 10:40,27/12/2016 18:50,,0,27/12/2016 10:40,27/12/2016 18:50,0
766,27/12/2016 00:00,766JNB,JNB,DXB,A0WCQ,27/12/2016 20:20,28/12/2016 04:15,,0,27/12/2016 20:20,28/12/2016 04:15,0
