Tail,Origin,Destination,STD,STA,ETD,ETA,type,fltNum
A0WCA,PEW,DXB,2016-12-27 03:00:00,2016-12-27 06:30:00,2016-12-27 03:50:00,2016-12-27 07:20:00,delayed,0637
A0WWJ,MED,DXB,2016-12-27 01:55:00,2016-12-27 04:20:00,2016-12-27 05:07:00,2016-12-27 07:32:00,delayed,0808
A0WDP,DXB,SEA,2016-12-27 05:25:00,2016-12-27 20:05:00,2016-12-27 05:25:00,2016-12-27 20:05:00,unaffected,0229
A0WDH,DXB,ORD,2016-12-27 05:45:00,2016-12-27 20:55:00,2016-12-27 05:45:00,2016-12-27 20:55:00,unaffected,0235
A0WBP,BAH,DXB,2016-12-27 00:45:00,2016-12-27 02:00:00,2016-12-27 05:45:00,2016-12-27 07:00:00,delayed,0836
A0WVJ,DXB,AKL,2016-12-27 06:05:00,2016-12-27 22:10:00,2016-12-27 06:05:00,2016-12-27 22:10:00,unaffected,0448
A0WNA,DXB,SYD,2016-12-27 06:15:00,2016-12-27 20:00:00,2016-12-27 06:15:00,2016-12-27 20:00:00,unaffected,0412
A0WFW,DXB,BNE,2016-12-27 06:25:00,2016-12-27 20:40:00,2016-12-27 06:25:00,2016-12-27 20:40:00,unaffected,0434
A0WVL,DXB,PER,2016-12-27 06:45:00,2016-12-27 17:35:00,2016-12-27 07:00:00,2016-12-27 17:50:00,delayed,0424
A0WVI,DXB,FCO,2016-12-27 05:00:00,2016-12-27 11:40:00,2016-12-27 07:00:00,2016-12-27 13:40:00,delayed,0097
A0WLA,DXB,MEL,2016-12-27 06:10:00,2016-12-27 19:30:00,2016-12-27 07:00:00,2016-12-27 20:20:00,delayed,0406
A0WLZ,DXB,VIE,2016-12-27 05:00:00,2016-12-27 11:25:00,2016-12-27 07:00:00,2016-12-27 13:25:00,delayed,0127
A0WBB,DXB,BUD,2016-12-27 04:25:00,2016-12-27 10:40:00,2016-12-27 07:01:00,2016-12-27 13:16:00,delayed,0111
A0WGM,DXB,CPT,2016-12-27 06:50:00,2016-12-27 16:25:00,2016-12-27 07:05:00,2016-12-27 16:40:00,delayed,0778
A0WWI,DXB,MLE,2016-12-27 05:40:00,2016-12-27 09:55:00,2016-12-27 07:05:00,2016-12-27 11:20:00,delayed,0652
A0WNA,DXB,SYD,2016-12-27 06:15:00,2016-12-27 20:00:00,2016-12-27 07:05:00,2016-12-27 20:50:00,delayed,0412
A0WCZ,DXB,SGN,2016-12-27 05:40:00,2016-12-27 12:25:00,2016-12-27 07:05:00,2016-12-27 13:50:00,delayed,0392
A0WLV,DXB,MRU,2016-12-27 06:15:00,2016-12-27 12:55:00,2016-12-27 07:05:00,2016-12-27 13:45:00,delayed,0703
A0WVO,DXB,CAN,2016-12-27 06:50:00,2016-12-27 13:45:00,2016-12-27 07:05:00,2016-12-27 14:00:00,delayed,0362
A0WMM,DXB,CMB,2016-12-27 05:05:00,2016-12-27 09:20:00,2016-12-27 07:05:00,2016-12-27 11:20:00,delayed,0654
A0WVV,DXB,KUL,2016-12-27 06:15:00,2016-12-27 13:25:00,2016-12-27 07:05:00,2016-12-27 14:15:00,delayed,0342
A0WWT,DXB,BLQ,2016-12-27 05:10:00,2016-12-27 11:45:00,2016-12-27 07:10:00,2016-12-27 13:45:00,delayed,0093
A0WDV,DXB,MNL,2016-12-27 06:20:00,2016-12-27 14:30:00,2016-12-27 07:10:00,2016-12-27 15:20:00,delayed,0334
A0WCZ,DXB,SGN,2016-12-27 05:40:00,2016-12-27 12:25:00,2016-12-27 07:11:00,2016-12-27 13:56:00,delayed,0392
A0WIK,DXB,AMM,2016-12-27 04:00:00,2016-12-27 07:40:00,2016-12-27 07:12:00,2016-12-27 10:52:00,delayed,0901
A0WMC,DXB,ATH,2016-12-27 05:50:00,2016-12-27 11:15:00,2016-12-27 07:15:00,2016-12-27 12:40:00,delayed,0105
A0WDQ,DXB,PVG,2016-12-27 05:15:00,2016-12-27 13:05:00,2016-12-27 07:15:00,2016-12-27 15:05:00,delayed,0304
A0WFW,DXB,BNE,2016-12-27 06:25:00,2016-12-27 20:40:00,2016-12-27 07:15:00,2016-12-27 21:30:00,delayed,0434
A0WDK,DXB,BOS,2016-12-27 04:40:00,2016-12-27 19:00:00,2016-12-27 07:16:00,2016-12-27 21:36:00,delayed,0237
A0WDH,DXB,ORD,2016-12-27 05:45:00,2016-12-27 20:55:00,2016-12-27 07:16:00,2016-12-27 22:26:00,delayed,0235
A0WGW,DXB,ADD,2016-12-27 06:30:00,2016-12-27 10:45:00,2016-12-27 07:20:00,2016-12-27 11:35:00,delayed,0723
A0WDA,DXB,SEZ,2016-12-27 05:55:00,2016-12-27 10:30:00,2016-12-27 07:20:00,2016-12-27 11:55:00,delayed,0707
A0WGY,DXB,LOS,2016-12-27 06:30:00,2016-12-27 14:40:00,2016-12-27 07:20:00,2016-12-27 15:30:00,delayed,0783
A0WCO,DXB,DAC,2016-12-27 06:30:00,2016-12-27 10:55:00,2016-12-27 07:20:00,2016-12-27 11:45:00,delayed,0586
A0WMB,DXB,KBL,2016-12-27 05:55:00,2016-12-27 08:45:00,2016-12-27 07:20:00,2016-12-27 10:10:00,delayed,0640
A0WCD,DXB,DME,2016-12-27 06:00:00,2016-12-27 11:20:00,2016-12-27 07:25:00,2016-12-27 12:45:00,delayed,0133
A0WGQ,DXB,EBB,2016-12-27 05:25:00,2016-12-27 10:50:00,2016-12-27 07:25:00,2016-12-27 12:50:00,delayed,0729
A0WDA,DXB,SEZ,2016-12-27 05:55:00,2016-12-27 10:30:00,2016-12-27 07:26:00,2016-12-27 12:01:00,delayed,0707
A0WCM,DXB,DUR,2016-12-27 06:40:00,2016-12-27 15:05:00,2016-12-27 07:30:00,2016-12-27 15:55:00,delayed,0775
A0WMF,DXB,JNB,2016-12-27 06:05:00,2016-12-27 14:20:00,2016-12-27 07:30:00,2016-12-27 15:45:00,delayed,0763
A0WBE,DXB,KHI,2016-12-27 05:30:00,2016-12-27 07:35:00,2016-12-27 07:30:00,2016-12-27 09:35:00,delayed,0606
A0WLG,DXB,HKG,2016-12-27 06:05:00,2016-12-27 13:05:00,2016-12-27 07:30:00,2016-12-27 14:30:00,delayed,0380
A0WVJ,DXB,AKL,2016-12-27 06:05:00,2016-12-27 22:10:00,2016-12-27 07:36:00,2016-12-27 23:41:00,delayed,0448
A0WLG,DXB,HKG,2016-12-27 06:05:00,2016-12-27 13:05:00,2016-12-27 07:36:00,2016-12-27 14:36:00,delayed,0380
A0WMF,DXB,JNB,2016-12-27 06:05:00,2016-12-27 14:20:00,2016-12-27 07:36:00,2016-12-27 15:51:00,delayed,0763
A0WDP,DXB,SEA,2016-12-27 05:25:00,2016-12-27 20:05:00,2016-12-27 07:48:00,2016-12-27 22:28:00,delayed,0229
A0WBE,KHI,DXB,2016-12-27 09:05:00,2016-12-27 11:15:00,2016-12-27 11:00:00,2016-12-27 13:10:00,delayed,0607
A0WMB,KBL,DXB,2016-12-27 12:00:00,2016-12-27 15:05:00,2016-12-27 12:00:00,2016-12-27 15:05:00,unaffected,0641
A0WIK,AMM,DXB,2016-12-27 09:15:00,2016-12-27 12:05:00,2016-12-27 12:12:00,2016-12-27 15:02:00,delayed,0902
