,flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration,new_flt_id
0,FL-EK-0096-20161230-FCO-DXB-0,96,FCO,DXB,2016-12-30 19:45:00,2016-12-31 01:30:00,False,2016-12-30 19:45:00,2016-12-31 01:30:00,,,4,69,418,A0WVQ,20161230
1,FL-EK-0370-20161231-DXB-BKK-0,370,DXB,BKK,2016-12-31 07:45:00,2016-12-31 13:50:00,False,2016-12-31 07:45:00,2016-12-31 13:50:00,,,0,22,384,A0WCS,20161231
2,FL-EK-0150-20161227-AMS-DXB-0,150,AMS,DXB,2016-12-27 21:00:00,2016-12-28 03:35:00,False,2016-12-27 21:00:00,2016-12-28 03:35:00,,,12,74,423,A0WLW,20161227
3,FL-EK-0211-20161230-DXB-IAH-0,211,DXB,IAH,2016-12-30 05:05:00,2016-12-30 21:50:00,False,2016-12-30 05:05:00,2016-12-30 21:50:00,,,5,37,248,A0WDQ,20161230
4,FL-EK-0384-20161229-BKK-HKG-0,384,BKK,HKG,2016-12-29 06:45:00,2016-12-29 09:30:00,False,2016-12-29 06:45:00,2016-12-29 09:30:00,,,6,69,409,A0WVE,20161229
5,FL-EK-0863-20161228-MCT-DXB-0,863,MCT,DXB,2016-12-28 06:50:00,2016-12-28 07:55:00,False,2016-12-28 06:50:00,2016-12-28 07:55:00,,,0,0,1,A0WIW,20161228
6,FL-EK-0159-20161229-DXB-OSL-0,159,DXB,OSL,2016-12-29 03:45:00,2016-12-29 11:00:00,False,2016-12-29 03:45:00,2016-12-29 11:00:00,,,0,10,298,A0WWN,20161229
7,FL-EK-0350-20161227-DXB-BKK-0,350,DXB,BKK,2016-12-27 16:15:00,2016-12-27 22:20:00,False,2016-12-27 16:15:00,2016-12-27 22:20:00,,,0,39,386,A0WWQ,20161227
8,FL-EK-0083-20161228-DXB-GVA-0,83,DXB,GVA,2016-12-28 10:50:00,2016-12-28 17:55:00,False,2016-12-28 10:50:00,2016-12-28 17:55:00,,,2,20,58,A0WGT,20161228
9,FL-EK-0585-20161228-DAC-DXB-0,585,DAC,DXB,2016-12-28 18:45:00,2016-12-29 00:25:00,False,2016-12-28 18:45:00,2016-12-29 00:25:00,,,0,34,373,A0WCS,20161228
10,FL-EK-0858-20161227-KWI-DXB-0,858,KWI,DXB,2016-12-27 14:45:00,2016-12-27 16:30:00,False,2016-12-27 14:45:00,2016-12-27 16:30:00,,,4,34,153,A0WCT,20161227
11,FL-EK-0980-20161229-IKA-DXB-0,980,IKA,DXB,2016-12-29 16:35:00,2016-12-29 18:50:00,False,2016-12-29 16:35:00,2016-12-29 18:50:00,,,2,32,181,A0WMA,20161229
12,FL-EK-0230-20161227-SEA-DXB-0,230,SEA,DXB,2016-12-27 01:10:00,2016-12-27 15:45:00,False,2016-12-27 01:10:00,2016-12-27 15:45:00,27/12/2016 01:10,,1,28,289,A0WDO,20161227
13,FL-EK-0864-20161229-DXB-MCT-0,864,DXB,MCT,2016-12-29 12:40:00,2016-12-29 13:55:00,False,2016-12-29 12:40:00,2016-12-29 13:55:00,,,0,13,130,A0WIG,20161229
14,FL-EK-0061-20161227-DXB-HAM-0,61,DXB,HAM,2016-12-27 11:00:00,2016-12-27 18:05:00,False,2016-12-27 11:00:00,2016-12-27 18:05:00,27/12/2016 11:00,,1,5,129,A0WMI,20161227
15,FL-EK-0412-20161229-DXB-SYD-0,412,DXB,SYD,2016-12-29 06:15:00,2016-12-29 20:00:00,False,2016-12-29 06:15:00,2016-12-29 20:00:00,,,10,45,337,A0WNN,20161229
16,FL-EK-0218-20161230-LAX-DXB-0,218,LAX,DXB,2016-12-30 05:30:00,2016-12-30 21:30:00,False,2016-12-30 05:30:00,2016-12-30 21:30:00,,,7,38,326,A0WLF,20161230
17,FL-EK-0725-20161228-DXB-DAR-0,725,DXB,DAR,2016-12-28 06:30:00,2016-12-28 12:00:00,False,2016-12-28 06:30:00,2016-12-28 12:00:00,,,1,32,280,A0WWB,20161228
18,FL-EK-0006-20161230-LHR-DXB-0,6,LHR,DXB,2016-12-30 22:00:00,2016-12-31 04:45:00,False,2016-12-30 22:00:00,2016-12-31 04:45:00,,,7,70,404,A0WFA,20161230
19,FL-EK-0162-20161229-DUB-DXB-0,162,DUB,DXB,2016-12-29 12:55:00,2016-12-29 20:25:00,False,2016-12-29 12:55:00,2016-12-29 20:25:00,,,0,42,383,A0WWV,20161229
20,FL-EK-0376-20161227-DXB-BKK-0,376,DXB,BKK,2016-12-27 23:30:00,2016-12-28 05:35:00,False,2016-12-27 23:30:00,2016-12-28 05:35:00,,,0,55,555,A0WVI,20161227
21,FL-EK-0404-20161227-DXB-SIN-0,404,DXB,SIN,2016-12-27 05:35:00,2016-12-27 12:55:00,False,2016-12-27 05:35:00,2016-12-27 12:55:00,27/12/2016 05:35,,7,71,286,A0WVZ,20161227
22,FL-EK-0369-20161228-CGK-DXB-0,369,CGK,DXB,2016-12-28 00:45:00,2016-12-28 09:00:00,False,2016-12-28 00:45:00,2016-12-28 09:00:00,,,0,11,303,A0WGL,20161228
23,FL-EK-0378-20161228-DXB-HKT-0,378,DXB,HKT,2016-12-28 08:45:00,2016-12-28 14:50:00,False,2016-12-28 08:45:00,2016-12-28 14:50:00,,,8,41,298,A0WWL,20161228
24,FL-EK-0308-20161231-DXB-PEK-0,308,DXB,PEK,2016-12-31 07:10:00,2016-12-31 14:30:00,False,2016-12-31 07:10:00,2016-12-31 14:30:00,,,0,11,220,A0WGK,20161231
25,FL-EK-0927-20161228-DXB-CAI-0,927,DXB,CAI,2016-12-28 04:15:00,2016-12-28 08:25:00,False,2016-12-28 04:15:00,2016-12-28 08:25:00,,,6,35,317,A0WGO,20161228
26,FL-EK-0528-20161229-DXB-HYD-0,528,DXB,HYD,2016-12-29 10:50:00,2016-12-29 14:20:00,False,2016-12-29 10:50:00,2016-12-29 14:20:00,,,4,3,335,A0WGA,20161229
27,FL-EK-0546-20161229-DXB-MAA-0,546,DXB,MAA,2016-12-29 10:45:00,2016-12-29 14:40:00,False,2016-12-29 10:45:00,2016-12-29 14:40:00,,,5,26,292,A0WMY,20161229
28,FL-EK-0956-20161229-BEY-DXB-0,956,BEY,DXB,2016-12-29 22:55:00,2016-12-30 02:55:00,False,2016-12-29 22:55:00,2016-12-30 02:55:00,,,6,38,293,A0WDN,20161229
29,FL-EK-0385-20161230-HKG-BKK-0,385,HKG,BKK,2016-12-30 13:15:00,2016-12-30 16:15:00,False,2016-12-30 13:15:00,2016-12-30 16:15:00,,,0,0,13,A0WFP,20161230
30,FL-EK-0838-20161228-BAH-DXB-0,838,BAH,DXB,2016-12-28 06:50:00,2016-12-28 08:00:00,False,2016-12-28 06:50:00,2016-12-28 08:00:00,,,2,36,252,A0WMP,20161228
31,FL-EK-0035-20161229-DXB-NCL-0,35,DXB,NCL,2016-12-29 03:25:00,2016-12-29 11:20:00,False,2016-12-29 03:25:00,2016-12-29 11:20:00,,,0,35,299,A0WDZ,20161229
32,FL-EK-0035-20161230-DXB-NCL-0,35,DXB,NCL,2016-12-30 03:25:00,2016-12-30 11:20:00,False,2016-12-30 03:25:00,2016-12-30 11:20:00,,,0,41,328,A0WCF,20161230
33,FL-EK-0415-20161230-SYD-DXB-0,415,SYD,DXB,2016-12-30 19:00:00,2016-12-31 09:20:00,False,2016-12-30 19:00:00,2016-12-31 09:20:00,,,2,30,349,A0WFJ,20161230
34,FL-EK-0854-20161231-KWI-DXB-0,854,KWI,DXB,2016-12-31 00:45:00,2016-12-31 02:30:00,False,2016-12-31 00:45:00,2016-12-31 02:30:00,,,0,10,274,A0WWH,20161231
35,FL-EK-0823-20161228-DXB-DMM-0,823,DXB,DMM,2016-12-28 22:50:00,2016-12-29 00:15:00,False,2016-12-28 22:50:00,2016-12-29 00:15:00,,,0,10,80,A0WMT,20161228
36,FL-EK-0853-20161228-DXB-KWI-0,853,DXB,KWI,2016-12-28 21:40:00,2016-12-28 23:30:00,False,2016-12-28 21:40:00,2016-12-28 23:30:00,,,2,6,57,A0WWU,20161228
37,FL-EK-0026-20161230-GLA-DXB-0,26,GLA,DXB,2016-12-30 20:50:00,2016-12-31 04:05:00,False,2016-12-30 20:50:00,2016-12-31 04:05:00,,,7,41,304,A0WMF,20161230
38,FL-EK-0038-20161231-BHX-DXB-0,38,BHX,DXB,2016-12-31 20:45:00,2017-01-01 03:40:00,False,2016-12-31 20:45:00,2017-01-01 03:40:00,,,0,23,248,A0WDV,20161231
39,FL-EK-0510-20161230-DXB-DEL-0,510,DXB,DEL,2016-12-30 00:30:00,2016-12-30 03:40:00,False,2016-12-30 00:30:00,2016-12-30 03:40:00,,,1,27,289,A0WGU,20161230
40,FL-EK-0836-20161228-BAH-DXB-0,836,BAH,DXB,2016-12-28 00:45:00,2016-12-28 02:00:00,False,2016-12-28 00:45:00,2016-12-28 02:00:00,,,3,22,126,A0WWU,20161228
41,FL-EK-0880-20161228-DOH-DXB-0,880,DOH,DXB,2016-12-28 02:55:00,2016-12-28 04:05:00,False,2016-12-28 02:55:00,2016-12-28 04:05:00,,,0,0,1,A0WMV,20161228
42,FL-EK-0802-20161228-JED-DXB-0,802,JED,DXB,2016-12-28 02:40:00,2016-12-28 05:30:00,False,2016-12-28 02:40:00,2016-12-28 05:30:00,,,0,39,370,A0WCF,20161228
43,FL-EK-0316-20161230-DXB-KIX-0,316,DXB,KIX,2016-12-30 23:20:00,2016-12-31 08:10:00,False,2016-12-30 23:20:00,2016-12-31 08:10:00,,,0,14,114,A0WCV,20161230
44,FL-EK-0770-20161227-DXB-CPT-0,770,DXB,CPT,2016-12-27 04:55:00,2016-12-27 14:30:00,False,2016-12-27 04:55:00,2016-12-27 14:30:00,27/12/2016 04:55,,8,37,301,A0WWS,20161227
45,FL-EK-0216-20161230-LAX-DXB-0,216,LAX,DXB,2016-12-30 23:35:00,2016-12-31 15:30:00,False,2016-12-30 23:35:00,2016-12-31 15:30:00,,,2,29,243,A0WVL,20161230
46,FL-EK-0007-20161231-DXB-LHR-0,7,DXB,LHR,2016-12-31 23:10:00,2017-01-01 07:10:00,False,2016-12-31 23:10:00,2017-01-01 07:10:00,,,11,64,408,A0WFN,20161231
47,FL-EK-0956-20161227-BEY-DXB-0,956,BEY,DXB,2016-12-27 22:55:00,2016-12-28 02:55:00,False,2016-12-27 22:55:00,2016-12-28 02:55:00,,,0,25,275,A0WMJ,20161227
48,FL-EK-0977-20161231-DXB-IKA-0,977,DXB,IKA,2016-12-31 16:45:00,2016-12-31 19:00:00,False,2016-12-31 16:45:00,2016-12-31 19:00:00,,,1,5,56,A0WIH,20161231
49,FL-EK-0415-20161227-SYD-DXB-0,415,SYD,DXB,2016-12-27 19:00:00,2016-12-28 09:20:00,False,2016-12-27 19:00:00,2016-12-28 09:20:00,,,3,51,393,A0WNU,20161227
50,FL-EK-0132-20161229-DME-DXB-0,132,DME,DXB,2016-12-29 20:55:00,2016-12-30 02:20:00,False,2016-12-29 20:55:00,2016-12-30 02:20:00,,,5,66,416,A0WLP,20161229
51,FL-EK-0161-20161229-DXB-DUB-0,161,DXB,DUB,2016-12-29 03:00:00,2016-12-29 11:20:00,False,2016-12-29 03:00:00,2016-12-29 11:20:00,,,0,22,226,A0WWV,20161229
52,FL-EK-0418-20161230-BKK-SYD-0,418,BKK,SYD,2016-12-30 12:30:00,2016-12-30 22:00:00,False,2016-12-30 12:30:00,2016-12-30 22:00:00,,,2,38,133,A0WLB,20161230
53,FL-EK-0236-20161231-ORD-DXB-0,236,ORD,DXB,2016-12-31 01:40:00,2016-12-31 15:00:00,False,2016-12-31 01:40:00,2016-12-31 15:00:00,,,8,39,300,A0WDE,20161231
54,FL-EK-0412-20161231-SYD-CHC-0,412,SYD,CHC,2016-12-31 21:45:00,2017-01-01 00:50:00,False,2016-12-31 21:45:00,2017-01-01 00:50:00,,,3,26,328,A0WNM,20161231
55,FL-EK-0112-20161231-BUD-DXB-0,112,BUD,DXB,2016-12-31 13:40:00,2016-12-31 19:05:00,False,2016-12-31 13:40:00,2016-12-31 19:05:00,,,0,19,300,A0WBI,20161231
56,FL-EK-0421-20161227-PER-DXB-0,421,PER,DXB,2016-12-27 14:20:00,2016-12-28 01:25:00,False,2016-12-27 14:20:00,2016-12-28 01:25:00,,,1,72,392,A0WFV,20161227
57,FL-EK-0653-20161231-MLE-DXB-0,653,MLE,DXB,2016-12-31 17:55:00,2016-12-31 22:05:00,False,2016-12-31 17:55:00,2016-12-31 22:05:00,,,0,30,256,A0WMC,20161231
58,FL-EK-0803-20161229-DXB-JED-0,803,DXB,JED,2016-12-29 12:10:00,2016-12-29 15:20:00,False,2016-12-29 12:10:00,2016-12-29 15:20:00,,,6,28,175,A0WDY,20161229
